n,GFLOPS
457,0.411268
458,0.323811
459,0.440979
460,0.394396
461,0.425694
462,0.422289
463,0.432694
464,0.439905
465,0.407303
466,0.430772
467,0.358305
468,0.438488
469,0.427487
470,0.385461
471,0.410716
472,0.349899
473,0.382628
474,0.391016
475,0.378557
476,0.345196
477,0.352356
478,0.340066
479,0.387924
480,0.35949
481,0.379858
482,0.334264
483,0.381574
484,0.339935
485,0.383159
486,0.317286
487,0.40641
488,0.353542
489,0.316418
490,0.394002
491,0.326182
492,0.348226
493,0.340024
494,0.332669
495,0.365498
496,0.319771
497,0.335833
498,0.399737
499,0.362064
500,0.372248
501,0.408902
502,0.40124
503,0.355805
504,0.377501
505,0.428993
506,0.356808
507,0.43722
508,0.387325
509,0.371753
510,0.432854
511,0.399495
512,0.35616
