vector_size,GFLOPS
457,0.526862
458,0.528137
459,0.527647
460,0.526919
461,0.482874
462,0.48
463,0.489016
464,0.483888
465,0.487524
466,0.485923
467,0.488749
468,0.48588
469,0.480582
470,0.489941
471,0.491957
472,0.485397
473,0.492042
474,0.490683
475,0.473202
476,0.486459
477,0.463512
478,0.491365
479,0.489575
480,0.491049
481,0.481626
482,0.489788
483,0.483145
484,0.489235
485,0.484952
486,0.485854
487,0.490137
488,0.487123
489,0.484638
490,0.523337
491,0.151072
492,0.369647
493,0.529424
494,0.528908
495,0.261946
496,0.35789
497,0.480565
498,0.486946
499,0.483621
500,0.319693
501,0.27582
502,0.309209
503,0.492365
504,0.491324
505,0.492587
506,0.49174
507,0.49147
508,0.4922
509,0.489094
510,0.113092
511,0.474334
512,0.476989
